tickerBbg,nameEn,nameCn,positionAmount,longShort,market
FIX US Equity,COMFORT SYSTEMS USA ORD,,4743462,long,United States
3808 HK Equity,SINOTRUK ORD,,3125459.6875,long,China
002518 CH Equity,KSTAR SCIENCE ORD A,科士达,3058204.734375,long,China
LYC AU Equity,LYNAS RARE EARTHS ORD,lynas,3056991.15625,long,Australia
IESC US Equity,IES ORD,,2823123.96875,long,United States
SPY US Equity,STATE STREET SPDR S&P 500 TRUST ETF,,2410775.703125,short,United States
AGX US Equity,ARGAN ORD,,2408098.984375,long,United States
300750 CH Equity,AMPEREX TECH ORD A,宁德时代,2039901.328125,long,China
000425 CH Equity,XCMG MACHINERY ORD A,徐工机械,2009965.296875,long,China
CCJ US Equity,CAMECO ORD,CAMECO,1955386.796875,long,Canada
BMW GR Equity,BMW ORD,BMW,1848172.234375,short,Germany
ENR GR Equity,SIEMENS ENERGY N ORD,西门子能源,1751544.140625,long,Germany
000680 CH Equity,SHANTUI CONSTR ORD A,,1626594.5546875,long,China
SGML US Equity,SIGMA LITHIUM ORD,,1588970.4375,long,Brazil
ASHR US Equity,XTRCKR HRVST CSI 300 CHNA A SHR ETF,,1548977.984375,short,China
MSIL IN Equity,MARUTI SUZUKI INDIA ORD,Maruti,1514909.96875,short,India
RIOT US Equity,RIOT PLATFORMS ORD,,1503108.359375,long,United States
002353 CH Equity,JEREH OILFIELD ORD A,,1483629.65234375,long,China
1942 JP Equity,KANDENKO ORD,Kandenko,1434931.650390625,long,Japan
600885 CH Equity,HONGFA TECH ORD A,,1376536.7145281942,long,China
603766 CH Equity,LONCIN MOTOR ORD A,隆鑫通用,1375495.8359375,long,China
1766 HK Equity,CRRC ORD H,中车,1370086.953125,short,China
1071 HK Equity,HUADIAN POWER ORD H,,1368490.859375,short,China
IGV US Equity,ISHARES EXPANDED TECH STW SCTR ETF,,1351812.03125,short,United States
NEO CN Equity,NEO PERFORMANCE MATE ORD,,1328533.984375,long,Canada
603308 CH Equity,YINGLIU ELECTR ORD A,,1318801.380859375,long,China
FLS US Equity,FLOWSERVE ORD,,1240699.1796875,long,United States
6902 JP Equity,DENSO ORD,Denso,1218557.40625,short,Japan
PWR US Equity,QUANTA SERVICES ORD,,1209955.46875,short,United States
6594 JP Equity,NIDEC ORD,,1181432.96875,long,Japan
603129 CH Equity,CFMOTO POWER ORD A,春风动力,1162191.866373698,long,China
SOLS US Equity,SOLSTICE ADVANCED MATERIALS ORD,,1153881.8984375,long,United States
CEG US Equity,CONSTELLATION ENERGY ORD,CEG,1149889.3203125,short,United States
FSLR US Equity,FIRST SOLAR ORD,FIRST SOLAR,1113425.8671875,short,United States
601100 CH Equity,HENGLI HYDRAULIC ORD A,恒立液压,1044237.0078125,long,China
6544 JP Equity,JAPAN ELEVATOR S ORD,,1039375.051171875,long,Japan
5713 JP Equity,SUMITOMO M & M ORD,,1022398.6875,long,Japan
WMB US Equity,WILLIAMS ORD,威廉姆斯,1021081.890625,long,United States
MBG GR Equity,MERCEDES-BENZ GROUP N ORD,奔驰,1003773.0234375,short,Germany
300014 CH Equity,EVE ENERGY ORD A,亿纬锂能,997173.2375488281,short,China
7203 JP Equity,TOYOTA MOTOR ORD,丰田,996732.71875,short,Japan
902 HK Equity,HUANENG POWER ORD H,,991630.0546875,short,China
601766 CH Equity,CRRC ORD A,中车,984744.7690429688,short,China
CPRT US Equity,COPART ORD,COPART,982481.9296875,short,United States
1810 HK Equity,XIAOMI-W ORD,,978065.796875,short,China
PGR US Equity,PROGRESSIVE ORD,PGR,975042.203125,short,United States
SWK US Equity,STANLEY BLACK AND DECKER ORD,SWK,948688.00390625,short,United States
KAP LI Equity,KAZATOMPROM NAC ORD,,907736.421875,long,Kazakhstan
603337 CH Equity,JACK TECH ORD A,,901240.95703125,long,China
ETN US Equity,EATON ORD,伊顿,886013.171875,short,United States
HUSQB SS Equity,HUSQVARNA ORD,,880600.5234375,short,Sweden
LIN US Equity,LINDE ORD,,849206.5697119702,long,United States
062040 KS Equity,SANIL ELECTRIC ORD,,847603.798828125,short,South Korea
836 HK Equity,CHINA RES POWER ORD,,817300.03125,short,China
IREN US Equity,IREN ORD,,810196.03125,long,Australia
916 HK Equity,CHINA LONGYUAN ORD H,,808967.1640625,short,China
000528 CH Equity,LIUGONG ORD A,,808400.732421875,long,China
003670 KS Equity,POSCO FUTURE M ORD,POSCO,800821.0167236328,short,South Korea
SU FP Equity,SCHNEIDER ELECTRIC SE ORD,,797952.671875,short,France
600114 CH Equity,NBTM NEW MAT ORD A,,794816.9130859375,long,China
1072 HK Equity,DONGFANG ELEC ORD H,,793462.609375,short,China
601633 CH Equity,GREAT WALL MOTOR ORD A,长城汽车,789978.7946166992,short,China
9660 HK Equity,HORIZONROBOT-W ORD,地平线,786400.4296875,short,China
2899 HK Equity,ZIJIN MINING ORD H,,750846.90625,long,China
PONY US Equity,PONY-W ORD,Pony ai,738574.3984375,long,China
247540 KS Equity,ECOPROBM ORD,Ecopro BM,737955.9515380859,short,South Korea
001288 CH Equity,ZGCMC ORD A,,737325.6315665409,long,China
601012 CH Equity,LONGI GREEN ORD A,隆基绿能,705060.375,short,China
002594 CH Equity,BYD ORD A,,681423.578125,short,China
688005 CH Equity,RONBAY ORD A,容百科技,671694.2265625,long,China
WRD US Equity,WERIDE-W ORD,Weride,665219.546875,long,China
5631 JP Equity,JAPAN STEEL WKS ORD,,662575.3931063287,long,Japan
005380 KS Equity,HYUNDAI MOTOR ORD,现代汽车,662573.2265625,short,South Korea
002028 CH Equity,SIEYUAN ELECTRIC ORD A,思源电气,661176.7306099398,long,China
1211 HK Equity,BYD COMPANY ORD H,BYD,659337.078125,short,China
688777 CH Equity,SUPCON ORD A,,646095.765625,short,China
2050 HK Equity,SANHUA ORD H,,645816.09375,short,China
F US Equity,FORD MOTOR ORD,福特,635583.7734375,short,United States
688698 CH Equity,VEICHI ORD A,,631660.1720486111,long,China
688480 CH Equity,SES ORD A,,619882.21875,long,China
006400 KS Equity,SAMSUNG SDI ORD,,616428.0072115385,long,South Korea
002270 CH Equity,HUAMING EQP ORD A,,615303.859375,short,China
1816 HK Equity,CGN POWER ORD H,,608284.8909860819,short,China
600152 CH Equity,VEKEN TECH ORD A,,578561.578125,long,China
OKLO US Equity,OKLO CL A ORD,,576087.7071439303,long,United States
FRMI US Equity,FERMI ORD,,564273.965625,long,United States
SEDG US Equity,SOLAREDGE TECHNOLOGIES ORD,Solaredge,554258.8654119318,long,United States
GM US Equity,GENERAL MOTORS ORD,通用汽车,553338.1013587187,long,United States
373220 KS Equity,LGES ORD,LG ES,552509.703125,short,South Korea
ENPH US Equity,ENPHASE ENERGY ORD,Enphase,550905.6076764292,short,United States
3931 HK Equity,CALB ORD H,中创新航,545034.626953125,short,China
669 HK Equity,TECHTRONIC IND ORD,创科实业,543226.6289847847,long,Hong Kong
300450 CH Equity,WUXI LEAD ORD A,,518615.6041782924,short,China
300207 CH Equity,SUNWODA ELECTRON ORD A,,518344.89934895834,long,China
LSTR US Equity,LANDSTAR SYSTEM ORD,,516896.1666666667,short,United States
300124 CH Equity,SZ INOVANCE TECH ORD A,汇川技术,503352.36256167764,long,China
6586 JP Equity,MAKITA ORD,,494624.8125,short,Japan
GEV US Equity,GE VERNOVA ORD,,491975.3187433226,long,United States
009830 KS Equity,HANWHA SOLUTIONS ORD,Hanwha solutions,476228.7890625,short,South Korea
034020 KS Equity,DOOSAN ENERBILITY ORD,,475285.47265625,long,South Korea
002837 CH Equity,SHZHEN ENVICOOL ORD A,英维克,469409.8970406954,long,China
URI US Equity,UNITED RENTAL ORD,联合租赁,460776.6050690599,long,United States
FLNC US Equity,FLUENCE ENERGY CL A ORD,福特,450708.00390625,short,United States
7269 JP Equity,SUZUKI MOTOR ORD,铃木,429779.50027901784,long,Japan
TSLA US Equity,TESLA ORD,特斯拉,417058.56558560923,long,United States
603298 CH Equity,HANGCHA GROUP ORD A,杭叉集团,413754.00531316205,long,China
XPEV US Equity,XPENG-W ORD,小鹏,407171.5233671899,short,China
TAN US Equity,INVSC SOLAR ETF,,403331.8777037061,short,United States
2155 HK Equity,MORIMATSU INTL ORD,,401693.1413352273,long,China
LI US Equity,LI AUTO-W ORD,,394590.1484375,short,China
2026 HK Equity,PONY-W ORD,,392530.34765625,long,China
300012 CH Equity,CENTRE TESTING ORD A,华测检测,390976.8905649878,long,China
688778 CH Equity,XTC ORD A,,385245.6953125,long,China
HPS/A CN Equity,HAMMOND POWER SOLN CL A ORD,Hammond,382432.64453125,short,Canada
6409 TT Equity,VOLTRONIC ORD,旭隼科技,371798.6224681713,long,Taiwan
002271 CH Equity,ORIENTAL YUHONG ORD A,,370627.4071551067,long,China
SEI US Equity,SOLARIS ENERGY INFRSTR CL A ORD,,362790.1126619665,long,United States
ATI US Equity,ATI ORD,,360045.0078125,long,United States
688772 CH Equity,COSMX ORD A,,358910.0402832031,long,China
ROK US Equity,ROCKWELL AUTOMAT ORD,罗克韦尔,354522.3221634266,long,United States
3606 HK Equity,FUYAO GLASS ORD H,福耀玻璃,354281.076630806,long,China
688017 CH Equity,LEADERDRIVE ORD A,绿的谐波,350806.22481678653,long,China
NIFTY Index,NIFTY 50,,349849.0882352941,short,India
1772 HK Equity,GANFENGLITHIUM ORD H,,347379.6553114854,short,China
098070 KS Equity,HANTECH ORD,,347288.035625,long,South Korea
NIO US Equity,NIO-SW ORD,蔚来,342129.98828125,short,China
MM IN Equity,MAHINDRA AND MAHINDRA ORD,M&M,338915.42544383305,long,India
EOSE US Equity,EOS ENERGY ENTERPRISES CL A ORD,,335258.45276988635,short,United States
600104 CH Equity,SAIC MOTOR ORD A,零跑汽车,332002.19172190706,short,China
LCID US Equity,LUCID GROUP ORD,Lucid,326528.9968356347,short,United States
000338 CH Equity,WEICHAI POWER ORD A,潍柴动力,326466.2394564354,short,China
1070 HK Equity,TCL ELECTRONICS ORD,,317214.947265625,short,Hong Kong
300274 CH Equity,SUNGROW POWER ORD A,阳光电源,315918.2976074219,short,China
301029 CH Equity,YIHEDA ORD A,,310075.6260285688,long,China
TMPV IN Equity,TATA MOTORS PASSENGER VEHICLES ORD,,307041.68122270744,short,India
1519 TT Equity,FORTUNE ELECTRIC ORD,华城电机,306115.03603156353,short,Taiwan
2338 HK Equity,WEICHAI POWER ORD H,,298453.2578125,short,China
CGNX US Equity,COGNEX ORD,康耐视,294369.5406968657,long,United States
STLA US Equity,STELLANTIS ORD,Stellantis,287398.0128871373,short,United States
000157 CH Equity,ZOOMLION ORD A,中联重科,284152.59217370074,short,China
2238 HK Equity,GAC GROUP ORD H,,281557.365234375,long,China
9696 HK Equity,TIANQI LITHIUM ORD H,,273316.19308035716,short,China
267260 KS Equity,HD HYUNDAI ELECTRIC ORD,HD Hyundai,271843.1500496032,short,South Korea
301358 CH Equity,YUNENG ORD A,裕能新能,269199.9799517463,long,China
7267 JP Equity,HONDA MOTOR ORD,本田,264390.25830078125,short,Japan
DUK US Equity,DUKE ENERGY ORD,DUKE,253341.74357657597,long,United States
300677 CH Equity,INTCO MEDICAL ORD A,英科医疗,250828.65731026785,long,China
9880 HK Equity,UBTECH ROBOTICS ORD H,优必选,243832.12913499438,long,China
HYUNDAI IN Equity,HYUNDAI MOTOR INDIA ORD,,243257.05348706152,long,India
600031 CH Equity,SANY ORD A,,231715.47600838306,short,China
CSIN0300 Index,CSI 300 NET TOTAL RETURN INDEX,,228963.55756578947,short,China
2333 HK Equity,GWMOTOR ORD H,长城,224281.61499379328,short,China
PLUG US Equity,PLUG POWER ORD,,215759.82790305399,short,United States
175 HK Equity,GEELY AUTO ORD,,213356.15121490994,long,China
GWW US Equity,WW GRAINGER ORD,GWW,213260.6286407767,long,United States
002050 CH Equity,SANHUA ORD A,三花智控,213220.552734375,short,China
601689 CH Equity,NB TUOPU GROUP ORD A,华阳集团,200077.02750528665,short,China
600028 CH Equity,CHINA PETROLEUM ORD A,,199604.06541395854,short,China
6301 JP Equity,KOMATSU ORD,小松,187053.1681793446,long,Japan
002984 CH Equity,SENTURY TIRE ORD A,森麒麟,183957.69759506776,long,China
689009 CH Equity,NINEBOT CDR,九号公司,183936.5716867047,long,China
BTDR US Equity,BITDEER TECHNOLOGIES CL A ORD,,183926.994140625,long,United States
3800 HK Equity,GCL TECH ORD,协鑫科技,180937.0405023837,long,China
2049 TT Equity,HIWIN ORD,上银科技,178233.66374336192,short,Taiwan
9863 HK Equity,LEAPMOTOR ORD H,零跑,177585.8882283902,long,China
000811 CH Equity,MOON TECH ORD A,,169623.97504340278,long,China
RIVN US Equity,RIVIAN AUTOMOTIVE CL A ORD,Rivian,161192.5,short,United States
000932 CH Equity,VALIN STEEL ORD A,华菱钢铁,157501.64027622767,long,China
179 HK Equity,JOHNSON ELEC H ORD,,157226.98046875,long,Hong Kong
ALB US Equity,ALBEMARLE ORD,,154609.18432617188,long,United States
603908 CH Equity,MOON TECH ORD A,冰轮环境,152207.33203125,long,中国
6501 JP Equity,HITACHI ORD,日立,148674.57921006944,long,Japan
KGX GR Equity,KION GROUP ORD,,148266.01513671875,long,Germany
301018 CH Equity,SHENLING ORD A,,147999.68521205356,long,China
MIR US Equity,MIRION TECHNOLOGIES CL A ORD,Mirion,147163.521484375,long,United States
KION GY Equity,KION GROUP ORD,Kion,137029.1015625,long,德国
FLR US Equity,FLUOR ORD,福特,122589.3980806791,long,United States
ZIM US Equity,ZIM INTEGRATED SHIPPING SERVICES ORD,,122463.36588541667,short,Israel
603737 CH Equity,SKSHU PAINT ORD A,,116289.70483896683,long,China
SMR US Equity,NUSCALE POWER CL A ORD,SMR,114279.23059082031,short,United States
1133 HK Equity,HARBIN ELECTRIC ORD H,,111192.01126534598,long,China
HMDPF US Equity,HAMMOND POWER SOLUTIONS ORD,,107680.35550315163,short,Canada
MP US Equity,MP MATERIALS CL A ORD,,107060.8447265625,short,United States
AVAV US Equity,AEROVIRONMENT ORD,,98432.49934895833,long,United States
GT US Equity,GOODYEAR TIRE AND RUBBER ORD,,97778.32340494792,long,United States
7261 JP Equity,MAZDA MOTOR ORD,马自达,94075.89035259679,short,Japan
600660 CH Equity,FUYAO GLASS ORD A,福耀玻璃,81809.66895918413,long,China
ARKK US Equity,ARK INNOVATION ETF,,79895.45808738426,short,United States
002444 CH Equity,GREAT STAR IND ORD A,科达利,79072.5361328125,long,China
1157 HK Equity,ZOOMLION ORD H,中联重科,75826.27417413119,short,China
9868 HK Equity,XPENG-W ORD,小鹏,75703.517578125,short,China
298040 KS Equity,HYOSUNG HEAVY ORD,Hyosung Heavy,71279.65529691256,short,South Korea
9866 HK Equity,NIO-SW ORD,蔚来,69225.58081054688,short,China
DQ US Equity,DAQO NEW ENERGY ADR REP 5 ORD,,68894.58426076062,short,China
688400 CH Equity,LUSTER ORD A,,64966.31494140625,long,China
BE US Equity,BLOOM ENERGY CL A ORD,BLOOM,62392.888671875,long,United States
GNRC US Equity,GENERAC HOLDINGS ORD,generac,52415.64203306686,long,United States
6861 JP Equity,KEYENCE ORD,基恩士,51168.06603255208,short,Japan
7201 JP Equity,NISSAN MOTOR ORD,日产,50217.39815887623,short,Japan
300866 CH Equity,ANKER INNO ORD A,安克创新,49783.4609375,long,China
600438 CH Equity,TONGWEI ORD A,,37912.76460920061,short,China
ACCE IN Equity,ACTION CONSTRUCTION EQUIPMENT ORD,ACCE,37670.76953125,long,India
AHT LN Equity,ASHTEAD GROUP ORD,AHT,32936.62744140625,long,United Kingdom
010120 KS Equity,LS ELECTRIC ORD,LS ELECTRIC,32065.318115234375,short,South Korea
300316 CH Equity,JINGSHENG MECHANICAL & ELEC ORD A,晶盛机电,31730.167093549455,short,China
603699 CH Equity,NEWAY VALVE ORD A,,28537.219482421875,long,China
2015 HK Equity,LI AUTO-W ORD,理想,28047.490604795257,long,China
RNO FP Equity,RENAULT ORD,雷诺,23551.62158203125,short,France
LEU US Equity,CENTRUS ENERGY CL A ORD,Centurs energy,23219.111219618055,long,United States
NUE US Equity,NUCOR ORD,,22812.399169921875,long,United States
826 HK Equity,TIANGONG INT'L ORD,天工国际,19940.61565328296,long,China
TTMT IN Equity,TATA MOTORS,Tata Motor,-161856,short,印度
